国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
尼日利亚,2016,261276,48.683,2456.306188,4448.73,20.98310971,
尼日尔,2016,43483,16.29,389.9855591,301.128,38.78420862,
南非,2016,42091,65.341,7476.621012,2235.001,2.22405748,
纳米比亚,2016,69828,47.961,6365.499832,353.606,6.109919299,
莫桑比克,2016,133231,34.926,584.2111079,3093.4,22.85457446,
摩洛哥,2016,76666,61.36,3212.815395,2157.149,11.99669571,
毛里塔尼亚,2016,14098,51.962,1322.238137,271.198,24.08613771,
毛里求斯,2016,11051,40.91,9833.613132,378.764,3.187929111,
马里,2016,29981,40.783,747.0916565,356.235,38.36770117,
马拉维,2016,8306,16.506,506.2496613,115.7,25.92704341,
马达加斯加,2016,5935,35.856,475.7454692,450.626,25.13345436,
卢旺达,2016,15777,17.056,754.2357159,342.253,29.30950995,
利比亚,2016,3205,79.54,5669.733946,0,0,
利比里亚,2016,24981,50.254,548.2681436,453.18,37.2421843,
莱索托,2016,7579,27.317,1451.178913,47.636,5.89133751,
肯尼亚,2016,454772,26.105,1129.713196,681.323,31.07233103,
科特迪瓦,2016,63977,49.881,1539.315802,577.479,22.42625277,
科摩罗,2016,1757,28.619,1365.34274,3.568,31.36847203,
喀麦隆,2016,151751,55.179,1467.760752,663.789,14.54303727,
津巴布韦,2016,44363,32.296,1224.309922,371.811,7.873985821,
加蓬,2016,69496,88.559,9419.856712,1241.13,4.97313691,
加纳,2016,114846,54.749,1643.448744,3485.3,20.97689131,
几内亚比绍共和国,2016,1631,42.533,594.9783587,23.982,46.34835901,
几内亚,2016,38617,35.46,809.9709354,1618.4,17.58994666,
吉布提,2016,84088,77.528,,159.999,1.308776632,
刚果（金）,2016,117896,43.307,407.2896431,1204.709,18.59975364,
刚果（布）,2016,216928,66.001,2851.975419,1610.524,7.242272409,
冈比亚,2016,519,59.918,747.0027351,-27.7,21.86137936,
佛得角,2016,806,64.784,3532.140211,127.235,7.995741096,
厄立特里亚,2016,10191,,,52.305,,
多哥,2016,14424,40.628,649.445939,-46.277,24.12673293,
赤道几内亚,2016,118268,71.138,12358.30404,53.962,2.332239209,
布隆迪,2016,6297,12.388,219.9614978,0.055,31.54433409,
布基纳法索,2016,77,28.134,663.8474288,390.357,30.59006826,
博茨瓦纳,2016,30017,67.933,7797.144122,122.163,2.049745788,
贝宁,2016,9291,46.229,1134.924536,131.701,27.7536355,
安哥拉,2016,433194,64.149,3530.309423,-179.518,9.831168609,
埃塞俄比亚,2016,470603,19.866,514.0573068,3988.953,34.6988796,
埃及,2016,228114,42.732,2761.386198,8106.8,11.76931597,
阿尔及利亚,2016,843421,71.459,4830.116707,1637.04,12.22016044,
中非,2015,486,40.277,346.3559074,3,31.52738103,
乍得,2015,71585,22.515,955.7273254,559.642,50.3955823,
赞比亚,2015,178981,41.907,1641.005482,1304.9,4.98082954,
乌干达,2015,155063,22.06,686.9827784,737.65,23.9815828,
突尼斯,2015,11067,68.056,4308.415596,1002.738,10.28278728,
坦桑尼亚,2015,141471,31.617,871.9983686,1560.8,26.74588573,
索马里,2015,224,43.245,,303,,
苏丹,2015,154873,33.894,1869.552756,1728.373,31.41855828,
斯威士兰,2015,12487,23.3,4645.877776,41.32,9.321798364,
圣多美和普林西比,2015,127,70.174,1235.850943,28.58,12.22863394,
塞舌尔,2015,3517,55.4,13187.61195,194.546,2.045977369,
塞内加尔,2015,50037,45.862,1383.167206,409.002,14.28245168,
塞拉利昂,2015,7928,40.829,441.1376641,252.436,58.6518937,
